index,name,sex
1004,Otto,M
1005,Luther,M
1006,Lawrence,M
1008,Patrick,M
1009,Guy,M
1010,Oliver,M
1011,Theodore,M
1012,Hugh,M
1014,Alexander,M
1015,August,M
1016,Floyd,M
1017,Homer,M
1018,Jack,M
1019,Leonard,M
1020,Horace,M
1022,Philip,M
1023,Allen,M
1024,Archie,M
1025,Stephen,M
1026,Chester,M
1027,Willis,M
1028,Raymond,M
1029,Rufus,M
1030,Warren,M
1032,Milton,M
1033,Alex,M
1035,Julius,M
1038,Bernard,M
1039,Dan,M
1040,Jerry,M
1041,Calvin,M
1042,Perry,M
1043,Dave,M
1044,Anthony,M
1046,Amos,M
1047,Dennis,M
1049,Leroy,M
1050,Wesley,M
1051,Alonzo,M
1052,Garfield,M
1053,Franklin,M
1054,Emil,M
1055,Leon,M
1056,Nathan,M
1057,Harold,M
1058,Matthew,M
1059,Levi,M
1060,Moses,M
1061,Everett,M
1062,Lester,M
1063,Winfield,M
1064,Adam,M
1065,Lloyd,M
1066,Mack,M
1067,Fredrick,M
1068,Jay,M
1069,Jess,M
1070,Melvin,M
1071,Noah,M
1072,Aaron,M
1073,Alvin,M
1074,Norman,M
1075,Gilbert,M
1076,Elijah,M
1077,Victor,M
1078,Gus,M
1079,Nelson,M
1080,Jasper,M
1081,Silas,M
1082,Jake,M
1083,Christopher,M
1084,Mike,M
1085,Percy,M
1086,Adolph,M
1087,Maurice,M
1088,Cornelius,M
1089,Felix,M
1090,Reuben,M
1091,Wallace,M
1092,Claud,M
1093,Roscoe,M
1094,Sylvester,M
1095,Earnest,M
1096,Hiram,M
1097,Otis,M
1098,Simon,M
1099,Willard,M
1100,Irvin,M
1101,Mark,M
1102,Jose,M
1103,Wilbur,M
1104,Abraham,M
1105,Virgil,M
1106,Clinton,M
1107,Elbert,M
1109,Marshall,M
1110,Owen,M
1111,Wiley,M
1112,Anton,M
1113,Morris,M
1114,Manuel,M
1115,Phillip,M
1116,Augustus,M
1117,Emmett,M
